code,trading_name,name_vi,ownership,sector,status,fy2024_vnd_bn,fy2025_vnd_bn,change_vnd_bn,in_balanced_panel
VIC,Vingroup,Tập đoàn Vingroup - Công ty Cổ phần,Private,Real estate & construction,common,56163.0,148773.0,92610.0,TRUE
PVN,PetroVietnam,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,SOE,"Oil, gas & fuels",common,77390.0,90991.0,13601.0,TRUE
VIETTEL,Viettel,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),SOE,Technology & telecom,common,46345.0,42290.0,-4055.0,TRUE
PLX,Petrolimex,Tập đoàn Xăng dầu Việt Nam,SOE,"Oil, gas & fuels",common,32694.0,30575.0,-2119.0,TRUE
HEINEKEN,Heineken Vietnam,Công ty TNHH Nhà máy Bia Heineken Việt Nam,FDI,"Food, beverage & brewing",common,33000.0,27000.0,-6000.0,TRUE
TOYOTAVN,Toyota Vietnam,Công ty Ô tô Toyota Việt Nam,FDI,Automotive,common,22119.0,26000.0,3881.0,TRUE
KSF,Sunshine Group,Công ty Cổ phần Tập đoàn Sunshine,Private,Real estate & construction,entered,,24045.0,,FALSE
VINACOMIN,Vinacomin,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,SOE,Coal & mining,common,25128.0,24031.0,-1097.0,TRUE
NSRP,NSRP,Công ty TNHH Lọc hóa dầu Nghi Sơn,FDI,"Oil, gas & fuels",common,24700.0,23000.0,-1700.0,TRUE
VINATABA,Vinataba,Tổng Công ty Thuốc lá Việt Nam - Công ty TNHH MTV,SOE,Tobacco,common,18154.0,22335.0,4181.0,TRUE
VIETSOVPETRO,Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,SOE,"Oil, gas & fuels",common,25245.0,21450.0,-3795.0,TRUE
THA,Thaco Group,CTCP Tập đoàn Trường Hải,Private,Automotive,common,23700.0,21158.0,-2542.0,TRUE
EVN,EVN,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,SOE,Power & electrical,common,19277.0,20891.0,1614.0,TRUE
SAB,Sabeco,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,FDI,"Food, beverage & brewing",common,12656.0,14917.0,2261.0,TRUE
CIPUTRAHN,Ciputra Hanoi,Công ty TNHH Phát Triển Khu đô thị Nam Thăng Long,FDI,Real estate & construction,entered,,13600.0,,FALSE
NHSC,NH Smart City,Công ty Cổ phần Đầu tư phát triển Thành phố Thông minh Bắc Hà Nội,Private,Real estate & construction,entered,,13171.0,,FALSE
HPG,Hòa Phát Group,Công ty cổ phần Tập đoàn Hòa Phát,Private,Steel & building materials,common,13426.0,12954.0,-472.0,TRUE
VCB,Vietcombank,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,SOE,Banking,common,12045.0,12494.0,449.0,TRUE
TCGROUP,Thành Công Group,Tập đoàn Thành Công (TC Group),Private,Automotive,common,16468.0,12441.0,-4027.0,TRUE
HONDA,Honda Vietnam,Công ty Honda Việt Nam,FDI,Automotive,entered,,11880.0,,FALSE
BID,BIDV,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,SOE,Banking,common,10074.0,11374.0,1300.0,TRUE
FORDVN,Ford Vietnam,Công ty TNHH Ford Việt Nam,FDI,Automotive,common,4634.0,11300.0,6666.0,TRUE
FPT,FPT,Công ty Cổ phần FPT,Private,Technology & telecom,common,9227.0,11291.0,2064.0,TRUE
TCB,Techcombank,Ngân hàng TMCP Kỹ Thương Việt Nam,Private,Banking,common,6775.0,10984.0,4209.0,TRUE
CTG,Vietinbank,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,SOE,Banking,common,8973.0,10057.0,1084.0,TRUE
MBB,MB,Ngân hàng Thương mại cổ phần Quân đội,SOE,Banking,common,8625.0,10004.0,1379.0,TRUE
SCIC,SCIC,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,SOE,Finance & investment,common,9568.0,8404.0,-1164.0,TRUE
AGRIBANK,Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,SOE,Banking,common,9178.0,7854.0,-1324.0,TRUE
VPB,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Private,Banking,common,5846.0,6883.0,1037.0,TRUE
HFIC,HFIC,Công ty Đầu tư Tài chính Nhà nước T.P Hồ Chí Minh,SOE,Finance & investment,common,5378.0,6794.0,1416.0,TRUE
VNPT,VNPT,Tập đoàn Bưu chính Viễn thông Việt Nam,SOE,Technology & telecom,common,5369.0,6078.0,709.0,TRUE
ACB,ACB,Ngân hàng Thương Mại Cổ Phần Á Châu,Private,Banking,common,5507.0,5782.0,275.0,TRUE
CTX,CTX Holdings,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Private,Real estate & construction,entered,,5127.0,,FALSE
ACV,ACV,Tổng công ty Cảng hàng không Việt Nam - CTCP,SOE,Aviation,common,4475.0,4656.0,181.0,TRUE
MSN,Masan Group,Công ty Cổ phần Tập đoàn MaSan,Private,"Food, beverage & brewing",common,4803.0,4636.0,-167.0,TRUE
STB,Sacombank,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,Private,Banking,common,3916.0,4304.0,388.0,TRUE
KHATOCO,Khatoco,Tổng Công ty Khánh Việt,SOE,Tobacco,common,4081.0,4292.0,211.0,TRUE
BHN,Habeco,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,SOE,"Food, beverage & brewing",common,4049.0,4158.0,109.0,TRUE
