rank,name_vi,trading_name,code,sector,sector_vi,corporate_group,role,counts_in_group_total,budget_payment_vnd_bn,vat_domestic,vat_imports,corporate_income_tax,personal_income_tax,land_and_land_rent
1,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,PetroVietnam,PVN,Oil & gas,Dầu khí,PetroVietnam,Parent,TRUE,90991.0,12585.0,8648.0,14599.0,1865.0,
2,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),Viettel,VIETTEL,Technology & telecom,Công nghệ - Viễn thông - Truyền thông,Viettel,Parent,TRUE,42290.0,,,,,
3,Tập đoàn Xăng dầu Việt Nam,Petrolimex,PLX,Fuel distribution,Xăng dầu - khí đốt,Petrolimex,Parent,TRUE,30575.0,3055.0,6397.0,727.0,320.0,
4,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Vinacomin,VINACOMIN,Coal & minerals,"Than, Khoáng sản",Vinacomin,Parent,TRUE,24031.0,3746.0,2281.0,1732.0,,423.0
5,Tổng Công ty Thuốc lá Việt Nam - Công ty TNHH MTV,Vinataba,VINATABA,Tobacco,Thuốc lá,—,Standalone,TRUE,22335.0,3546.0,,418.0,,
6,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,EVN,EVN,Power,Điện năng,EVN,Parent,TRUE,20891.0,8367.0,,1201.0,1163.0,
7,Công ty TNHH - Tổng Công ty Thăm dò Khai thác Dầu khí,PVEP,PVEP,Oil & gas,Dầu khí,PetroVietnam,Subsidiary,FALSE,15105.0,,,6685.0,,
8,Công ty Cổ phần - Tổng Công ty Lọc Hóa dầu Việt Nam,BSR,BSR,Oil & gas,Dầu khí,PetroVietnam,Subsidiary,FALSE,14531.0,3499.0,4673.0,390.0,,
9,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,Vietcombank,VCB,Banking,Ngân hàng,—,Standalone,TRUE,12494.0,835.0,,9242.0,,
10,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,BIDV,BID,Banking,Ngân hàng,BIDV,Parent,TRUE,11374.0,1430.0,,6768.0,,
11,Tổng Công ty Dầu Việt Nam - CTCP,PV Oil,OIL,Fuel distribution,Xăng dầu - khí đốt,PetroVietnam,Subsidiary,FALSE,11115.0,1006.0,1328.0,124.0,,
12,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,Viettel Global,VGI,Technology & telecom,Công nghệ - Viễn thông - Truyền thông,Viettel,Subsidiary,FALSE,10657.0,3781.0,,3191.0,970.0,
13,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Vietinbank,CTG,Banking,Ngân hàng,—,Standalone,TRUE,10057.0,998.0,,7541.0,,
14,Ngân hàng Thương mại cổ phần Quân đội,MB,MBB,Banking,Ngân hàng,MB,Parent,TRUE,10004.0,1105.0,,6518.0,,
15,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,SCIC,SCIC,Finance & investment,Đầu tư,—,Standalone,TRUE,8404.0,,,384.0,,
16,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Agribank,AGRIBANK,Banking,Ngân hàng,—,Standalone,TRUE,7854.0,763.0,,5658.0,,
17,Tổng Công ty Khí Việt Nam-CTCP,PV Gas,GAS,Oil & gas,Dầu khí,PetroVietnam,Subsidiary,FALSE,7278.0,1934.0,2141.0,2403.0,,
18,Công ty Đầu tư Tài chính Nhà nước T.P Hồ Chí Minh,HFIC,HFIC,Finance & investment,Đầu tư,HFIC,Parent,TRUE,6794.0,1441.0,,683.0,500.0,339.0
19,Công ty TNHH MTV Xổ số kiến thiết Thành phố Hồ Chí Minh,HCM City Lottery,XSHCM,Lottery,Xổ số,HFIC,Subsidiary,FALSE,6176.0,1378.0,,498.0,490.0,
20,Tập đoàn Bưu chính Viễn thông Việt Nam,VNPT,VNPT,Technology & telecom,Công nghệ - Viễn thông - Truyền thông,—,Standalone,TRUE,6078.0,,,,,
21,Tổng Công ty Phát điện 1,EVN Genco1,GENCO1,Power,Điện năng,EVN,Subsidiary,FALSE,5422.0,3521.0,,237.0,,
22,Tổng công ty Cảng hàng không Việt Nam - CTCP,ACV,ACV,Aviation,Hàng không,—,Standalone,TRUE,4656.0,211.0,,2582.0,403.0,149.0
23,Tổng Công ty Khánh Việt,Khatoco,KHATOCO,Tobacco,Thuốc lá,—,Standalone,TRUE,4292.0,537.0,78.0,58.0,,
24,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Habeco,BHN,Food & beverage,Bia rượu,—,Standalone,TRUE,4158.0,613.0,,155.0,,
25,Công ty Cổ phần Viễn thông FPT,FPT Telecom,FOX,Technology & telecom,Công nghệ - Viễn thông - Truyền thông,—,Standalone,TRUE,3945.0,2580.0,,955.0,296.0,
26,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,CNS,CNS,Tobacco,Thuốc lá,—,Standalone,TRUE,3691.0,421.0,77.0,107.0,19.0,
27,Tập đoàn Công nghiệp Cao su Việt Nam,Vietnam Rubber Group,GVR,Chemicals & rubber,"Cao su, Bất động sản",—,Standalone,TRUE,3413.0,858.0,,1232.0,162.0,751.0
28,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,HVN,Aviation,Hàng không,—,Standalone,TRUE,3291.0,969.0,,416.0,874.0,
29,Sở Giao dịch Chứng khoán Việt Nam,Vietnam Exchange,VNEX,Finance & investment,Tài chính,Vietnam Exchange,Parent,TRUE,3283.0,6.0,,659.0,,
30,Tổng Công ty Cấp nước Sài Gòn,Sawaco,SAWACO,Water,Cấp thoát nước,—,Standalone,TRUE,3179.0,232.0,,337.0,,
31,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,Saigon New Port/SNP,SNP,Transport & logistics,Vận tải - Logistics,—,Standalone,TRUE,3000.0,,,,,
32,Tổng Công ty Quản lý bay Việt Nam,VATM,VATM,Aviation,Hàng không,—,Standalone,TRUE,2948.0,,,358.0,,
33,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT LONG AN,Long An Lottery,XSLA,Lottery,Xổ số,—,Standalone,TRUE,2797.0,,,,,
34,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,Bạc Liêu Lottery,XSBL,Lottery,Xổ số,—,Standalone,TRUE,2751.0,640.0,,207.0,,
35,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BÌNH DƯƠNG,Bình Dương Lottery,XSBINHDUONG,Lottery,Xổ số,—,Standalone,TRUE,2749.0,630.0,,212.0,,
36,Công ty TNHH MTV Xổ Số Kiến Thiết Bến Tre,Bến Tre Lottery,XSBENTRE,Lottery,Xổ số,—,Standalone,TRUE,2738.0,643.0,,207.0,,
37,Công ty TNHH MTV Xổ số kiến thiết Cà Mau,Cà Mau Lottery,XSCM,Lottery,Xổ số,—,Standalone,TRUE,2721.0,640.0,,175.0,,
38,Công ty TNHH Xổ số kiến thiết tỉnh Tây Ninh,Tây Ninh Lottery,XSTN,Lottery,Xổ số,—,Standalone,TRUE,2718.0,643.0,,195.0,243.0,
39,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH ĐỒNG THÁP,Đồng Tháp Lottery,XSDT,Lottery,Xổ số,—,Standalone,TRUE,2682.0,646.0,,190.0,,
40,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT KIÊN GIANG,Kiên Giang Lottery,XSKG,Lottery,Xổ số,—,Standalone,TRUE,2680.0,659.0,,179.0,,
41,Xổ số kiến thiết tỉnh Trà Vinh,Trà Vinh Lottery,XSTV,Lottery,Xổ số,—,Standalone,TRUE,2648.0,658.0,,170.0,,
42,Công ty TNHH MTV Xổ số kiến thiết Bình Thuận,Bình Thuận Lottery,XSBINHTHUAN,Lottery,Xổ số,—,Standalone,TRUE,2635.0,642.0,,168.0,,
43,Công ty TNHH MTV Xổ số kiến thiết Vĩnh Long,Vĩnh Long Lottery,XSVL,Lottery,Xổ số,—,Standalone,TRUE,2615.0,644.0,,210.0,,
44,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,Satra,SATRA,Retail & trade,Phân phối - Bán lẻ,—,Standalone,TRUE,2602.0,,,51.0,,
45,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH BÀ RỊA - VŨNG TÀU,BRVT Lottery,XSBRVT,Lottery,Xổ số,—,Standalone,TRUE,2591.0,641.0,,166.0,,
46,Công ty TNHH MTV Xổ số kiến thiết Lâm Đồng,Lâm Đồng Lottery,XSLD,Lottery,Xổ số,—,Standalone,TRUE,2579.0,654.0,,182.0,249.0,
47,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT AN GIANG,An Giang Lottery,XSAG,Lottery,Xổ số,—,Standalone,TRUE,2543.0,642.0,,157.0,240.0,
48,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TIỀN GIANG,Tiền Giang Lottery,XSTG,Lottery,Xổ số,—,Standalone,TRUE,2529.0,650.0,,140.0,244.0,
49,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT VÀ DỊCH VỤ TỔNG HỢP ĐỒNG NAI,Đồng Nai Lottery,XSDONGNAI,Lottery,Xổ số,—,Standalone,TRUE,2460.0,646.0,,198.0,,
50,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,Cần Thơ Lottery,XSCT,Lottery,Xổ số,—,Standalone,TRUE,2452.0,646.0,,185.0,,
51,Tổng Công ty Đông Bắc - BQP,Necorp,NECORP,Coal & minerals,"Than, Khoáng sản",—,Standalone,TRUE,2444.0,673.0,,205.0,,
52,Công ty TNHH MTV Xổ số kiến thiết Sóc Trăng,Sóc Trăng Lottery,XSST,Lottery,Xổ số,—,Standalone,TRUE,2321.0,,,,,
53,Tập đoàn Hoá chất Việt Nam,Vinachem,VINACHEM,Chemicals & rubber,Hóa chất,Vinachem,Parent,TRUE,2268.0,781.0,,692.0,112.0,
54,Công ty TNHH MTV Xổ số điện toán Việt Nam,Vietlott,VIETLOTT,Lottery,Xổ số,—,Standalone,TRUE,2265.0,791.0,,84.0,263.0,
55,Công ty TNHH MTV Xổ số kiến thiết Hậu Giang,Hậu Giang Lottery,XSHG,Lottery,Xổ số,—,Standalone,TRUE,2115.0,598.0,,111.0,,
56,Tổng Công ty Khoáng sản TKV - CTCP,Vimico,KSV,Coal & minerals,"Than, Khoáng sản",Vinacomin,Subsidiary,FALSE,1968.0,606.0,,360.0,,
57,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,HUD,HUDX,Real estate & construction,Bất động sản - Xây dựng,—,Standalone,TRUE,1951.0,,,157.0,,1296.0
58,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,PTSC,PVS,Oil & gas,Dầu khí,PetroVietnam,Subsidiary,FALSE,1921.0,319.0,,620.0,400.0,
59,Công ty TNHH MTV Xổ số kiến thiết và dịch vụ tổng hợp Bình Phước,Bình Phước Lottery,XSBP,Lottery,Xổ số,—,Standalone,TRUE,1910.0,496.0,,117.0,,
60,Công ty TNHH MTV Thương mại Dầu khí Đồng Tháp,Petimex,PDT,Fuel distribution,Xăng dầu - khí đốt,—,Standalone,TRUE,1819.0,,,25.0,,
61,Tập đoàn Bảo Việt,BaoViet Holdings,BVH,Insurance,Bảo hiểm,Bao Viet,Parent,TRUE,1817.0,475.0,,535.0,755.0,
62,Tổng công ty Phát điện 2 - Công ty cổ phần,EVN Genco2,GE2,Power,Điện năng,EVN,Subsidiary,FALSE,1815.0,380.0,,231.0,,
63,Tổng Công ty Viễn thông Mobifone,Mobifone,MOBIFONE,Technology & telecom,Công nghệ - Viễn thông - Truyền thông,—,Standalone,TRUE,1500.0,,,,,
64,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,Saigontourist,SAIGONTOURIST,Tourism,Du lịch,—,Standalone,TRUE,1439.0,281.0,,78.0,31.0,742.0
65,Tổng Công ty Công nghiệp Thực phẩm Đồng Nai,Dofico,DOFICO,Tobacco,Thuốc lá,—,Standalone,TRUE,1402.0,200.0,,28.0,,
66,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,PV Power,POW,Power,Điện năng,PetroVietnam,Subsidiary,FALSE,1174.0,377.0,,121.0,,
67,Tổng Công ty Phát điện 3 - Công ty cổ phần,EVN Genco3,PGV,Power,Điện năng,EVN,Subsidiary,FALSE,1118.0,335.0,,2.0,98.0,
68,Tổng Công ty Công nghiệp Xi măng Việt Nam,Vicem,VICEM,Steel & building materials,Vật liệu xây dựng,—,Standalone,TRUE,1110.0,386.0,,54.0,,
69,Tổng Công ty Hàng hải Việt Nam - CTCP,VIMC,MVN,Transport & logistics,Vận tải - Logistics,—,Standalone,TRUE,1107.0,395.0,,387.0,143.0,
70,Tổng Công ty cổ phần Bưu chính Viettel,Viettel Post,VTP,Transport & logistics,Vận tải - Logistics,Viettel,Subsidiary,FALSE,1044.0,685.0,,104.0,246.0,
71,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,PV Drilling,PVD,Oil & gas,Dầu khí,PetroVietnam,Subsidiary,FALSE,1033.0,120.0,,201.0,360.0,
72,Tổng Công ty Cổ phần Công trình Viettel,Viettel Construction,CTR,Real estate & construction,Xây lắp,Viettel,Subsidiary,FALSE,995.0,537.0,,142.0,225.0,
73,Tổng Công ty Điện lực Miền Bắc,EVN NPC,EVNNPC,Power,Điện năng,EVN,Subsidiary,FALSE,991.0,449.0,,196.0,,
74,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,Saigon Petro,SAIGONPETRO,Fuel distribution,Xăng dầu - khí đốt,—,Standalone,TRUE,965.0,,,,,
75,Tổng Công ty Bảo Việt Nhân thọ,BaoViet Life,BVLIFE,Insurance,Bảo hiểm,Bao Viet,Subsidiary,FALSE,946.0,,,410.0,,
76,Tổng Công ty Thép Việt Nam - CTCP,VNSteel,TVN,Steel & building materials,Thép,—,Standalone,TRUE,927.0,637.0,,68.0,,110.0
77,Tập đoàn Dệt may Việt Nam,Vinatex,VGT,Textiles,Dệt may,—,Standalone,TRUE,895.0,462.0,,139.0,,212.0
