rank,name_vi,trading_name,code,ownership,sector,budget_payment_vnd_bn
1,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,PetroVietnam,PVN,SOE,"Oil, gas & fuels",77390.0
2,Tập đoàn Vingroup - Công ty Cổ phần,Vingroup,VIC,Private,Real estate & construction,56163.0
3,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),Viettel,VIETTEL,SOE,Technology & telecom,46345.0
4,Công ty TNHH Nhà máy Bia Heineken Việt Nam,Heineken Vietnam,HEINEKEN,FDI,"Food, beverage & brewing",33000.0
5,Tập đoàn Xăng dầu Việt Nam,Petrolimex,PLX,SOE,"Oil, gas & fuels",32694.0
6,Liên doanh Việt - Nga Vietsovpetro,Vietsovpetro,VIETSOVPETRO,SOE,"Oil, gas & fuels",25245.0
7,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Vinacomin,VINACOMIN,SOE,Coal & mining,25128.0
8,Công ty TNHH Lọc hóa dầu Nghi Sơn,NSRP,NSRP,FDI,"Oil, gas & fuels",24700.0
9,CTCP Tập đoàn Trường Hải,Thaco Group,THA,Private,Automotive,23700.0
10,Công ty Ô tô Toyota Việt Nam,Toyota Vietnam,TOYOTAVN,FDI,Automotive,22119.0
11,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,EVN,EVN,SOE,Power & electrical,19277.0
12,Tổng Công ty Thuốc lá Việt Nam - Công ty TNHH MTV,Vinataba,VINATABA,SOE,Tobacco,18154.0
13,Tập đoàn Thành Công (TC Group),Thành Công Group,TCGROUP,Private,Automotive,16468.0
14,Công ty cổ phần Tập đoàn Hòa Phát,Hòa Phát Group,HPG,Private,Steel & building materials,13426.0
15,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,Sabeco,SAB,FDI,"Food, beverage & brewing",12656.0
16,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,Vietcombank,VCB,SOE,Banking,12045.0
17,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,BIDV,BID,SOE,Banking,10074.0
18,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,SCIC,SCIC,SOE,Finance & investment,9568.0
19,Công ty Cổ phần FPT,FPT,FPT,Private,Technology & telecom,9227.0
20,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Agribank,AGRIBANK,SOE,Banking,9178.0
21,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Vietinbank,CTG,SOE,Banking,8973.0
22,Ngân hàng Thương mại cổ phần Quân đội,MB,MBB,SOE,Banking,8625.0
23,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,Satra,SATRA,SOE,Retail & trade,8212.0
24,Ngân hàng TMCP Kỹ Thương Việt Nam,Techcombank,TCB,Private,Banking,6775.0
25,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,HDBank,HDB,Private,Banking,6021.0
26,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPBank,VPB,Private,Banking,5846.0
27,Ngân hàng Thương Mại Cổ Phần Á Châu,ACB,ACB,Private,Banking,5507.0
28,Công ty Đầu tư Tài chính Nhà nước T.P Hồ Chí Minh,HFIC,HFIC,SOE,Finance & investment,5378.0
29,Tập đoàn Bưu chính Viễn thông Việt Nam,VNPT,VNPT,SOE,Technology & telecom,5369.0
30,Công ty Cổ phần Tập đoàn MaSan,Masan Group,MSN,Private,"Food, beverage & brewing",4803.0
31,Công ty TNHH Ford Việt Nam,Ford Vietnam,FORDVN,FDI,Automotive,4634.0
32,Công ty Cổ phần Sữa Việt Nam,Vinamilk,VNM,Private,"Food, beverage & brewing",4569.0
33,Tổng công ty Cảng hàng không Việt Nam - CTCP,ACV,ACV,SOE,Aviation,4475.0
34,Tổng Công ty Khánh Việt,Khatoco,KHATOCO,SOE,Tobacco,4081.0
35,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Habeco,BHN,SOE,"Food, beverage & brewing",4049.0
36,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,CNS,CNS,SOE,Tobacco,3975.0
37,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,Sacombank,STB,Private,Banking,3916.0
38,Công ty TNHH Bia Carlsberg Việt Nam,Carlsberg Việt Nam,CARLSBERG,FDI,"Food, beverage & brewing",3900.0
39,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thalexim,TLP,Private,"Oil, gas & fuels",3426.0
40,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,LPBank,LPB,Private,Banking,3359.0
41,Tổng Công ty Cấp nước Sài Gòn,Sawaco,SAWACO,SOE,Water & utilities,3211.0
42,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,HVN,SOE,Aviation,3152.0
43,Tổng Công ty Quản lý bay Việt Nam,VATM,VATM,SOE,Aviation,2898.0
44,Tập đoàn Công nghiệp Cao su Việt Nam,Vietnam Rubber Group,GVR,SOE,"Chemicals, plastics & rubber",2750.0
45,Công ty Cổ phần Tập đoàn GELEX,Gelex,GEX,Private,Power & electrical,2732.0
46,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,Saigon New Port/SNP,SNP,SOE,Logistics & ports,2672.0
47,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,VIB,VIB,Private,Banking,2618.0
48,Sở Giao dịch Chứng khoán Việt Nam,Vietnam Exchange,VNEX,SOE,Finance & investment,2583.0
49,Xổ số kiến thiết tỉnh Trà Vinh,Trà Vinh Lottery,XSTV,SOE,Lottery,2565.0
50,Tập đoàn Hoá chất Việt Nam,Vinachem,VINACHEM,SOE,"Chemicals, plastics & rubber",2530.0
51,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,SHB,SHB,Private,Banking,2466.0
