rank,name_vi,trading_name,code,ownership,ownership_basis,sector,sector_vi,budget_payment_vnd_bn,vat_domestic,vat_imports,corporate_income_tax,personal_income_tax,land_and_land_rent
1,Tập đoàn Vingroup - Công ty Cổ phần,Vingroup,VIC,Private,CafeF PRIVATE 100 (2026),Real estate & construction,"Bất động sản, Ô tô",148773.0,23183.0,,17043.0,5057.0,93813.0
2,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,PetroVietnam,PVN,SOE,CafeF STATE 100 (2026),"Oil, gas & fuels",Dầu khí,90991.0,12585.0,8648.0,14599.0,1865.0,
3,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),Viettel,VIETTEL,SOE,CafeF STATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,42290.0,,,,,
4,Tập đoàn Xăng dầu Việt Nam,Petrolimex,PLX,SOE,CafeF STATE 100 (2026),"Oil, gas & fuels",Xăng dầu - khí đốt,30575.0,3055.0,6397.0,727.0,320.0,
5,Công ty TNHH Nhà máy Bia Heineken Việt Nam,Heineken Vietnam,HEINEKEN,FDI,"Heineken NV, foreign-controlled JV","Food, beverage & brewing",Bia rượu,27000.0,,,,,
6,Công ty Ô tô Toyota Việt Nam,Toyota Vietnam,TOYOTAVN,FDI,Toyota (JP),Automotive,Ô tô,26000.0,,,,,
7,Công ty Cổ phần Tập đoàn Sunshine,Sunshine Group,KSF,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,24045.0,,,,,
8,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Vinacomin,VINACOMIN,SOE,CafeF STATE 100 (2026),Coal & mining,"Than, Khoáng sản",24031.0,3746.0,2281.0,1732.0,,423.0
9,Công ty TNHH Lọc hóa dầu Nghi Sơn,NSRP,NSRP,FDI,"Idemitsu + KPI 70.2%, PVN 25.1%","Oil, gas & fuels",Dầu khí,23000.0,,,,,
10,Tổng Công ty Thuốc lá Việt Nam - Công ty TNHH MTV,Vinataba,VINATABA,SOE,CafeF STATE 100 (2026),Tobacco,Thuốc lá,22335.0,3546.0,,418.0,,
11,Liên doanh Việt - Nga Vietsovpetro,Vietsovpetro,VIETSOVPETRO,SOE,"PVN 51% / Zarubezhneft 49%, state-controlled JV","Oil, gas & fuels",Dầu khí,21450.0,,,,,
12,CTCP Tập đoàn Trường Hải,Thaco Group,THA,Private,CafeF PRIVATE 100 (2026),Automotive,Ô tô,21158.0,,,,,
13,Tập đoàn Điện lực Việt Nam - Công ty TNHH MTV,EVN,EVN,SOE,CafeF STATE 100 (2026),Power & electrical,Điện năng,20891.0,8367.0,,1201.0,1163.0,
14,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,Sabeco,SAB,FDI,ThaiBev 53.6%; MOIT 36%,"Food, beverage & brewing",Bia rượu,14917.0,2118.0,,1057.0,120.0,
15,Công ty TNHH Phát Triển Khu đô thị Nam Thăng Long,Ciputra Hanoi,CIPUTRAHN,FDI,Ciputra (ID) led JV with UDIC,Real estate & construction,Bất động sản - Xây dựng,13600.0,,,,,
16,Công ty Cổ phần Đầu tư phát triển Thành phố Thông minh Bắc Hà Nội,NH Smart City,NHSC,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,13171.0,,,,,
17,Công ty cổ phần Tập đoàn Hòa Phát,Hòa Phát Group,HPG,Private,CafeF PRIVATE 100 (2026),Steel & building materials,Thép,12954.0,903.0,8766.0,1995.0,211.0,
18,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,Vietcombank,VCB,SOE,CafeF STATE 100 (2026),Banking,Ngân hàng,12494.0,835.0,,9242.0,,
19,Tập đoàn Thành Công (TC Group),Thành Công Group,TCGROUP,Private,CafeF PRIVATE 100 (2026),Automotive,"Ô tô, Bất động sản",12441.0,,,,,
20,Công ty Honda Việt Nam,Honda Vietnam,HONDA,FDI,Honda (JP),Automotive,Ô tô,11880.0,,,,,
21,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,BIDV,BID,SOE,CafeF STATE 100 (2026),Banking,Ngân hàng,11374.0,1430.0,,6768.0,,
22,Công ty TNHH Ford Việt Nam,Ford Vietnam,FORDVN,FDI,Ford (US),Automotive,Ô tô,11300.0,,,,,
23,Công ty Cổ phần FPT,FPT,FPT,Private,CafeF PRIVATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,11291.0,6437.0,,2238.0,2182.0,
24,Ngân hàng TMCP Kỹ Thương Việt Nam,Techcombank,TCB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,10984.0,760.0,,7178.0,,
25,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Vietinbank,CTG,SOE,CafeF STATE 100 (2026),Banking,Ngân hàng,10057.0,998.0,,7541.0,,
26,Ngân hàng Thương mại cổ phần Quân đội,MB,MBB,SOE,CafeF STATE 100 (2026),Banking,Ngân hàng,10004.0,1105.0,,6518.0,,
27,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,SCIC,SCIC,SOE,CafeF STATE 100 (2026),Finance & investment,Đầu tư,8404.0,,,384.0,,
28,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Agribank,AGRIBANK,SOE,CafeF STATE 100 (2026),Banking,Ngân hàng,7854.0,763.0,,5658.0,,
29,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPBank,VPB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,6883.0,879.0,,4128.0,,
30,Công ty Đầu tư Tài chính Nhà nước T.P Hồ Chí Minh,HFIC,HFIC,SOE,CafeF STATE 100 (2026),Finance & investment,Đầu tư,6794.0,1441.0,,683.0,500.0,339.0
31,Tập đoàn Bưu chính Viễn thông Việt Nam,VNPT,VNPT,SOE,CafeF STATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,6078.0,,,,,
32,Ngân hàng Thương Mại Cổ Phần Á Châu,ACB,ACB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,5782.0,452.0,,4335.0,,
33,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,CTX Holdings,CTX,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,5127.0,76.0,,3.0,,4970.0
34,Tổng công ty Cảng hàng không Việt Nam - CTCP,ACV,ACV,SOE,CafeF STATE 100 (2026),Aviation,Hàng không,4656.0,211.0,,2582.0,403.0,149.0
35,Công ty Cổ phần Tập đoàn MaSan,Masan Group,MSN,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing","Thực phẩm, Bán lẻ, Tài chính",4636.0,1854.0,,1274.0,393.0,
36,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,Sacombank,STB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,4304.0,830.0,,2773.0,,
37,Tổng Công ty Khánh Việt,Khatoco,KHATOCO,SOE,CafeF STATE 100 (2026),Tobacco,Thuốc lá,4292.0,537.0,78.0,58.0,,
38,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Habeco,BHN,SOE,CafeF STATE 100 (2026),"Food, beverage & brewing",Bia rượu,4158.0,613.0,,155.0,,
39,Công ty Cổ phần Sữa Việt Nam,Vinamilk,VNM,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,3856.0,1777.0,,1536.0,311.0,
40,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,HDBank,HDB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3744.0,521.0,,2592.0,,
41,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,CNS,CNS,SOE,CafeF STATE 100 (2026),Tobacco,Thuốc lá,3691.0,421.0,77.0,107.0,19.0,
42,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thalexim,TLP,Private,CafeF PRIVATE 100 (2026),"Oil, gas & fuels",Xăng dầu - khí đốt,3468.0,158.0,913.0,18.0,,
43,Tập đoàn Công nghiệp Cao su Việt Nam,Vietnam Rubber Group,GVR,SOE,CafeF STATE 100 (2026),"Chemicals, plastics & rubber","Cao su, Bất động sản",3413.0,858.0,,1232.0,162.0,751.0
44,Công ty Cổ phần Tập đoàn BIM,BIM Group,BIMGROUP,Private,CafeF PRIVATE 100 (2026),Power & electrical,"Bất động sản, Điện năng",3316.0,983.0,,859.0,135.0,
45,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,LPBank,LPB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3298.0,55.0,,2600.0,,
46,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,HVN,SOE,CafeF STATE 100 (2026),Aviation,Hàng không,3291.0,969.0,,416.0,874.0,
47,Sở Giao dịch Chứng khoán Việt Nam,Vietnam Exchange,VNEX,SOE,CafeF STATE 100 (2026),Finance & investment,Tài chính,3283.0,6.0,,659.0,,
48,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,SHB,SHB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3249.0,320.0,,2309.0,,
49,Tổng Công ty Cấp nước Sài Gòn,Sawaco,SAWACO,SOE,CafeF STATE 100 (2026),Water & utilities,Cấp thoát nước,3179.0,232.0,,337.0,,
50,Công ty cổ phần Đầu tư Bất động sản Taseco,Taseco Land,TAL,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,3148.0,198.0,,195.0,,2728.0
51,Công ty TNHH ô tô Mitsubishi Việt Nam,Mitsubishi Motors,MMVN,FDI,Mitsubishi Motors (JP),Automotive,Ô tô,3000.0,,,,,
52,Công ty TNHH Apple Việt Nam,Apple Việt Nam,APPLE,FDI,Apple Inc (US),Retail & trade,Phân phối - Bán lẻ,3000.0,,,,,
